last_changed,entity_id,state
2024-07-25 18:15:00,sensor.fimer_inverter_dc_power,460
2024-07-25 18:30:00,sensor.fimer_inverter_dc_power,330
2024-07-25 18:45:00,sensor.fimer_inverter_dc_power,240
2024-07-25 19:00:00,sensor.fimer_inverter_dc_power,170
2024-07-25 19:15:00,sensor.fimer_inverter_dc_power,130
2024-07-25 19:30:00,sensor.fimer_inverter_dc_power,90
2024-07-25 19:45:00,sensor.fimer_inverter_dc_power,40
2024-07-25 20:00:00,sensor.fimer_inverter_dc_power,0
2024-07-25 23:15:00,sensor.fimer_inverter_dc_power,unavailable
2024-07-26 00:30:00,sensor.fimer_inverter_dc_power,unavailable
2024-07-26 06:00:00,sensor.fimer_inverter_dc_power,40
2024-07-26 06:15:00,sensor.fimer_inverter_dc_power,90
2024-07-26 06:30:00,sensor.fimer_inverter_dc_power,130
2024-07-26 06:45:00,sensor.fimer_inverter_dc_power,160
2024-07-26 07:00:00,sensor.fimer_inverter_dc_power,290
2024-07-26 07:15:00,sensor.fimer_inverter_dc_power,460
2024-07-26 07:30:00,sensor.fimer_inverter_dc_power,530
2024-07-26 07:45:00,sensor.fimer_inverter_dc_power,970
2024-07-26 08:00:00,sensor.fimer_inverter_dc_power,1310
2024-07-26 08:15:00,sensor.fimer_inverter_dc_power,1570
2024-07-26 08:30:00,sensor.fimer_inverter_dc_power,1810
2024-07-26 08:45:00,sensor.fimer_inverter_dc_power,2020
2024-07-26 09:00:00,sensor.fimer_inverter_dc_power,2180
2024-07-26 09:15:00,sensor.fimer_inverter_dc_power,2350
2024-07-26 09:30:00,sensor.fimer_inverter_dc_power,2500
2024-07-26 09:45:00,sensor.fimer_inverter_dc_power,2670
2024-07-26 10:00:00,sensor.fimer_inverter_dc_power,2770
2024-07-26 10:15:00,sensor.fimer_inverter_dc_power,2930
2024-07-26 10:30:00,sensor.fimer_inverter_dc_power,2970
2024-07-26 10:45:00,sensor.fimer_inverter_dc_power,3140
2024-07-26 11:00:00,sensor.fimer_inverter_dc_power,3230
2024-07-26 11:15:00,sensor.fimer_inverter_dc_power,3290
2024-07-26 11:30:00,sensor.fimer_inverter_dc_power,3390
2024-07-26 11:45:00,sensor.fimer_inverter_dc_power,3360
2024-07-26 12:00:00,sensor.fimer_inverter_dc_power,3430
2024-07-26 12:15:00,sensor.fimer_inverter_dc_power,3520
2024-07-26 12:30:00,sensor.fimer_inverter_dc_power,3750
2024-07-26 12:45:00,sensor.fimer_inverter_dc_power,3410
2024-07-26 13:00:00,sensor.fimer_inverter_dc_power,3370
2024-07-26 13:15:00,sensor.fimer_inverter_dc_power,3320
2024-07-26 13:30:00,sensor.fimer_inverter_dc_power,3290
2024-07-26 13:45:00,sensor.fimer_inverter_dc_power,3190
2024-07-26 14:00:00,sensor.fimer_inverter_dc_power,3110
2024-07-26 14:15:00,sensor.fimer_inverter_dc_power,3070
2024-07-26 14:30:00,sensor.fimer_inverter_dc_power,2960
2024-07-26 14:45:00,sensor.fimer_inverter_dc_power,2860
2024-07-26 15:00:00,sensor.fimer_inverter_dc_power,2750
2024-07-26 15:15:00,sensor.fimer_inverter_dc_power,2620
2024-07-26 15:30:00,sensor.fimer_inverter_dc_power,2480
2024-07-26 15:45:00,sensor.fimer_inverter_dc_power,2230
2024-07-26 16:00:00,sensor.fimer_inverter_dc_power,2140
2024-07-26 16:15:00,sensor.fimer_inverter_dc_power,1920
2024-07-26 16:30:00,sensor.fimer_inverter_dc_power,1770
2024-07-26 16:45:00,sensor.fimer_inverter_dc_power,1570
2024-07-26 17:00:00,sensor.fimer_inverter_dc_power,1390
2024-07-26 17:15:00,sensor.fimer_inverter_dc_power,1190
2024-07-26 17:30:00,sensor.fimer_inverter_dc_power,990
2024-07-26 17:45:00,sensor.fimer_inverter_dc_power,790
2024-07-26 18:00:00,sensor.fimer_inverter_dc_power,610
2024-07-26 18:15:00,sensor.fimer_inverter_dc_power,450
2024-07-26 18:30:00,sensor.fimer_inverter_dc_power,310
2024-07-26 18:45:00,sensor.fimer_inverter_dc_power,220
2024-07-26 19:00:00,sensor.fimer_inverter_dc_power,150
2024-07-26 19:15:00,sensor.fimer_inverter_dc_power,120
2024-07-26 19:30:00,sensor.fimer_inverter_dc_power,70
2024-07-26 19:45:00,sensor.fimer_inverter_dc_power,30
2024-07-26 20:00:00,sensor.fimer_inverter_dc_power,0
2024-07-27 00:30:00,sensor.fimer_inverter_dc_power,unavailable
2024-07-27 06:00:00,sensor.fimer_inverter_dc_power,30
2024-07-27 06:15:00,sensor.fimer_inverter_dc_power,70
2024-07-27 06:30:00,sensor.fimer_inverter_dc_power,110
2024-07-27 06:45:00,sensor.fimer_inverter_dc_power,150
2024-07-27 07:00:00,sensor.fimer_inverter_dc_power,250
2024-07-27 07:15:00,sensor.fimer_inverter_dc_power,410
2024-07-27 07:30:00,sensor.fimer_inverter_dc_power,510
2024-07-27 07:45:00,sensor.fimer_inverter_dc_power,970
2024-07-27 08:00:00,sensor.fimer_inverter_dc_power,1370
2024-07-27 08:15:00,sensor.fimer_inverter_dc_power,1550
2024-07-27 08:30:00,sensor.fimer_inverter_dc_power,1810
2024-07-27 08:45:00,sensor.fimer_inverter_dc_power,1990
2024-07-27 09:00:00,sensor.fimer_inverter_dc_power,2210
2024-07-27 09:15:00,sensor.fimer_inverter_dc_power,2380
2024-07-27 09:30:00,sensor.fimer_inverter_dc_power,2520
2024-07-27 09:45:00,sensor.fimer_inverter_dc_power,2680
2024-07-27 10:00:00,sensor.fimer_inverter_dc_power,2750
2024-07-27 10:15:00,sensor.fimer_inverter_dc_power,2950
2024-07-27 10:30:00,sensor.fimer_inverter_dc_power,3050
2024-07-27 10:45:00,sensor.fimer_inverter_dc_power,3120
2024-07-27 11:00:00,sensor.fimer_inverter_dc_power,3220
2024-07-27 11:15:00,sensor.fimer_inverter_dc_power,3290
2024-07-27 11:30:00,sensor.fimer_inverter_dc_power,unavailable
2024-07-27 11:45:00,sensor.fimer_inverter_dc_power,3330
2024-07-27 12:00:00,sensor.fimer_inverter_dc_power,3360
2024-07-27 12:15:00,sensor.fimer_inverter_dc_power,3430
2024-07-27 12:30:00,sensor.fimer_inverter_dc_power,3350
2024-07-27 12:45:00,sensor.fimer_inverter_dc_power,3350
2024-07-27 13:00:00,sensor.fimer_inverter_dc_power,3360
2024-07-27 13:15:00,sensor.fimer_inverter_dc_power,3310
2024-07-27 13:30:00,sensor.fimer_inverter_dc_power,3300
2024-07-27 13:45:00,sensor.fimer_inverter_dc_power,3240
2024-07-27 14:00:00,sensor.fimer_inverter_dc_power,3130
2024-07-27 14:15:00,sensor.fimer_inverter_dc_power,3050
2024-07-27 14:30:00,sensor.fimer_inverter_dc_power,2980
2024-07-27 14:45:00,sensor.fimer_inverter_dc_power,2860
2024-07-27 15:00:00,sensor.fimer_inverter_dc_power,2760
2024-07-27 15:15:00,sensor.fimer_inverter_dc_power,2610
2024-07-27 15:30:00,sensor.fimer_inverter_dc_power,2460
2024-07-27 15:45:00,sensor.fimer_inverter_dc_power,2300
2024-07-27 16:00:00,sensor.fimer_inverter_dc_power,2160
2024-07-27 16:15:00,sensor.fimer_inverter_dc_power,2010
2024-07-27 16:30:00,sensor.fimer_inverter_dc_power,1820
2024-07-27 16:45:00,sensor.fimer_inverter_dc_power,1600
2024-07-27 17:00:00,sensor.fimer_inverter_dc_power,1410
2024-07-27 17:15:00,sensor.fimer_inverter_dc_power,1200
2024-07-27 17:30:00,sensor.fimer_inverter_dc_power,1000
2024-07-27 17:45:00,sensor.fimer_inverter_dc_power,790
2024-07-27 18:00:00,sensor.fimer_inverter_dc_power,unavailable
2024-07-27 18:15:00,sensor.fimer_inverter_dc_power,430
2024-07-27 18:30:00,sensor.fimer_inverter_dc_power,280
2024-07-27 18:45:00,sensor.fimer_inverter_dc_power,190
2024-07-27 19:00:00,sensor.fimer_inverter_dc_power,140
2024-07-27 19:15:00,sensor.fimer_inverter_dc_power,110
2024-07-27 19:30:00,sensor.fimer_inverter_dc_power,70
2024-07-27 19:45:00,sensor.fimer_inverter_dc_power,40
2024-07-27 20:00:00,sensor.fimer_inverter_dc_power,0
2024-07-28 00:30:00,sensor.fimer_inverter_dc_power,unavailable
2024-07-28 06:00:00,sensor.fimer_inverter_dc_power,30
2024-07-28 06:15:00,sensor.fimer_inverter_dc_power,70
2024-07-28 06:30:00,sensor.fimer_inverter_dc_power,100
2024-07-28 06:45:00,sensor.fimer_inverter_dc_power,140
2024-07-28 07:00:00,sensor.fimer_inverter_dc_power,270
2024-07-28 07:15:00,sensor.fimer_inverter_dc_power,510
2024-07-28 07:30:00,sensor.fimer_inverter_dc_power,450
2024-07-28 07:45:00,sensor.fimer_inverter_dc_power,1090
2024-07-28 08:00:00,sensor.fimer_inverter_dc_power,1410
2024-07-28 08:15:00,sensor.fimer_inverter_dc_power,1640
2024-07-28 08:30:00,sensor.fimer_inverter_dc_power,1840
2024-07-28 08:45:00,sensor.fimer_inverter_dc_power,2050
2024-07-28 09:00:00,sensor.fimer_inverter_dc_power,2220
2024-07-28 09:15:00,sensor.fimer_inverter_dc_power,2400
2024-07-28 09:30:00,sensor.fimer_inverter_dc_power,2570
2024-07-28 09:45:00,sensor.fimer_inverter_dc_power,2680
2024-07-28 10:00:00,sensor.fimer_inverter_dc_power,2810
2024-07-28 10:15:00,sensor.fimer_inverter_dc_power,2940
