entity_id,state,last_changed
sensor.fimer_inverter_dc_power,2720,2024-07-21 10:03:20.194
sensor.fimer_inverter_dc_power,2740,2024-07-21 10:03:50.354
sensor.fimer_inverter_dc_power,2730,2024-07-21 10:04:50.262
sensor.fimer_inverter_dc_power,2760,2024-07-21 10:05:20.274
sensor.fimer_inverter_dc_power,2740,2024-07-21 10:05:50.172
sensor.fimer_inverter_dc_power,2780,2024-07-21 10:06:20.352
sensor.fimer_inverter_dc_power,2770,2024-07-21 10:06:50.270
sensor.fimer_inverter_dc_power,2760,2024-07-21 10:07:20.293
sensor.fimer_inverter_dc_power,2780,2024-07-21 10:07:50.184
sensor.fimer_inverter_dc_power,2800,2024-07-21 10:08:20.288
sensor.fimer_inverter_dc_power,2790,2024-07-21 10:08:50.199
sensor.fimer_inverter_dc_power,2810,2024-07-21 10:09:20.196
sensor.fimer_inverter_dc_power,2800,2024-07-21 10:09:50.268
sensor.fimer_inverter_dc_power,2830,2024-07-21 10:10:20.213
sensor.fimer_inverter_dc_power,2820,2024-07-21 10:10:50.302
sensor.fimer_inverter_dc_power,2840,2024-07-21 10:11:20.221
sensor.fimer_inverter_dc_power,2820,2024-07-21 10:12:20.237
sensor.fimer_inverter_dc_power,2840,2024-07-21 10:12:50.166
sensor.fimer_inverter_dc_power,2800,2024-07-21 10:13:20.272
sensor.fimer_inverter_dc_power,2810,2024-07-21 10:13:50.236
sensor.fimer_inverter_dc_power,2800,2024-07-21 10:14:20.171
sensor.fimer_inverter_dc_power,2830,2024-07-21 10:14:50.305
sensor.fimer_inverter_dc_power,2860,2024-07-21 10:15:20.227
sensor.fimer_inverter_dc_power,2830,2024-07-21 10:15:50.266
sensor.fimer_inverter_dc_power,2820,2024-07-21 10:16:20.267
sensor.fimer_inverter_dc_power,2450,2024-07-21 10:16:50.303
sensor.fimer_inverter_dc_power,2740,2024-07-21 10:17:20.246
sensor.fimer_inverter_dc_power,2810,2024-07-21 10:17:50.284
sensor.fimer_inverter_dc_power,2820,2024-07-21 10:18:20.188
sensor.fimer_inverter_dc_power,2860,2024-07-21 10:18:50.215
sensor.fimer_inverter_dc_power,2870,2024-07-21 10:19:20.180
sensor.fimer_inverter_dc_power,2940,2024-07-21 10:19:50.586
sensor.fimer_inverter_dc_power,2950,2024-07-21 10:20:20.292
sensor.fimer_inverter_dc_power,2970,2024-07-21 10:20:50.372
sensor.fimer_inverter_dc_power,2920,2024-07-21 10:22:20.312
sensor.fimer_inverter_dc_power,3030,2024-07-21 10:22:50.193
sensor.fimer_inverter_dc_power,3070,2024-07-21 10:23:50.194
sensor.fimer_inverter_dc_power,3100,2024-07-21 10:24:50.168
sensor.fimer_inverter_dc_power,3120,2024-07-21 10:25:20.195
sensor.fimer_inverter_dc_power,3110,2024-07-21 10:26:50.211
sensor.fimer_inverter_dc_power,3130,2024-07-21 10:27:20.212
sensor.fimer_inverter_dc_power,3110,2024-07-21 10:27:50.230
sensor.fimer_inverter_dc_power,3130,2024-07-21 10:28:20.216
sensor.fimer_inverter_dc_power,3150,2024-07-21 10:29:20.153
sensor.fimer_inverter_dc_power,3220,2024-07-21 10:29:50.235
sensor.fimer_inverter_dc_power,3240,2024-07-21 10:30:20.238
sensor.fimer_inverter_dc_power,3230,2024-07-21 10:30:50.266
sensor.fimer_inverter_dc_power,3170,2024-07-21 10:31:20.242
sensor.fimer_inverter_dc_power,3110,2024-07-21 10:31:50.162
sensor.fimer_inverter_dc_power,3140,2024-07-21 10:32:20.249
sensor.fimer_inverter_dc_power,3120,2024-07-21 10:33:50.159
sensor.fimer_inverter_dc_power,3100,2024-07-21 10:34:50.264
sensor.fimer_inverter_dc_power,3110,2024-07-21 10:35:20.281
sensor.fimer_inverter_dc_power,3120,2024-07-21 10:35:50.393
